COMMENT,MOOD
Tui xinh đẹp mà. (hoặc đẹp trai mà),Neutral
"""Crush ơi, chỉ cần crush cười thôi là em vui cả ngày rồi.""",Inlove
Tui muốn giữ gìn tình bạn này mãi mãi!,Happy
 Cảm thấy mình như đang chết dần chết mòn,Sad
Cảm giác như mình đang bị tổn thương,Sad
 Nhưng mà lười,Neutral
Giá như mình có thể thay đổi quá khứ,Worry
Mình muốn sống một cuộc sống ý nghĩa và trọn vẹn,InLove
Tui sợ phải bị tổn thương,Worry
"""Thế giới xung quanh, bỗng trở nên u ám.""",InLove
"Mình vẫn còn ""trong sáng"" lắm nha! 😇",Inlove
" Nói chuyện với bạn, cảm thấy thoải mái hơn",Neutral
Mình cũng phải vượt qua,Sad
 Tui sợ phải mất đi những người mình yêu thương. 👨‍👩‍👧‍👦,Worry
Học cách chấp nhận những điều không thể thay đổi,Happy
Đi shopping mà gặp sale off,Happy
 Cap,Neutral
 Tự nhiên thấy mình triết lý ghê,Neutral
" Tâm trạng rối bời, đầu óc trống rỗng",Sad
Thấy quảng cáo giảm giá. Kệ,Neutral
 Gia đình đang gặp khó khăn về tài chính.  Áp lực này đè nặng lên mình quá.  Mình phải làm gì đây?,Worry
"""Shopping online"" không cần nhìn giá, ""rich kid"" hệ tư tưởng!",Happy
 Cảm giác được yêu thật tuyệt vời,InLove
Nó bay. Tôi nhìn,Neutral
Tui ước gì mình có thể mạnh mẽ hơn... 💪,Worry
" Tui đã khóc, khóc vì hạnh phúc",Happy
"Tự nhiên thấy mình ""nhút nhát"", chắc do chưa tự tin vào bản thân",Worry
Mình tin vào tương lai tươi sáng,InLove
 Tôi sẽ không bao giờ từ bỏ ước mơ của mình,Angry
 Như cuộc sống của mình,Neutral
Giá như mình có thể đọc được suy nghĩ của người khác,Worry
"Tui cảm thấy bất lực, không thể thay đổi được gì",Worry
" Hú hồn! Nay crush rep story tui á, chắc chắn là ""hint"" rồi mấy má ơi!!! 💖",Happy
Tui cần thời gian để suy nghĩ lại mọi chuyện,Inlove
"Crush là ""sunshine"" của tui!",InLove
Thấy cuộc sống thật nhàm chán,Neutral
 Cảm giác như sắp có chuyện không hay xảy ra,Worry
 Tự nhiên thấy tủi thân... Muốn khóc quá à 🥺,Worry
"Em sợ nhất là ""mất"" anh, nhưng em lại chẳng là gì của anh 🥺",Worry
Tui luôn mơ về một tương lai tươi đẹp bên crush,InLove
" ""Flex"" chi dữ thần vậy má?",Angry
"""Tui hướng về"" phía trước",Sad
Thôi thì chơi game,Neutral
"Tự dưng muốn sống chậm lại, tận hưởng những khoảnh khắc hiện tại. ⏳",Happy
Just stop!,Angry
"Crush đang ""online""... tim tui ""offline"" luôn á!",Inlove
 🤬🤬🤬  Không thể tin nổi!,Angry
 Thấy mình thật yếu đuối,Worry
Tui sợ tui sẽ không bao giờ tìm thấy hạnh phúc,Sad
Bực cả mình!,Angry
Tự tin lên nào!,Happy
 Tự hào vì đã vượt qua được khó khăn. 🙌,Happy
"""Waking up each morning"" with a smile on my face",Happy
Mình sẽ mạnh mẽ hơn,Inlove
 Chỉ muốn buông xuôi tất cả,Worry
Mình tin vào bản thân mình,InLove
Tui tin rằng bạn bè là tri kỷ!,Happy
Chẳng ai hiểu được những gì tôi đang cảm nhận,Sad
 Tui thấy mình như đang mắc kẹt trong một vòng luẩn quẩn. 🔄,Worry
" ""Mẹ bảo dọn nhà, bố bảo rửa xe. Tui là con sen hay gì 🥲""",Angry
" ""Sao lúc nào mình cũng phải kìm nén cảm xúc vậy? 😠""",Angry
 Tui thấy mình như đang đứng trên bờ vực thẳm. 🕳️,Worry
"Chuyện bé xé ra to, đúng là ""chúa hề"" của lớp",Angry
 Ghét nó vl!,Angry
Chắc tui nên đi đâu đó để thay đổi không khí,Sad
" Okay, bye",Neutral
Mình không muốn làm ai thất vọng,Sad
" **""Flex"" failed:** Định khoe cái áo mới mà ai cũng bảo ""bình thường"". Tụt mood ngang. 📉",Worry
"""Mới nạp card game thì server sập. Tức cái lồng ngực!""",Angry
"""Viết"" nhật ký để ""giải tỏa"" cảm xúc!",Happy
Mình là ai? Mình muốn gì?,Inlove
 Hôm nay mình thấy ổn hơn rồi,Sad
 Cảm giác hạnh phúc pha lẫn chút hồi hộp,Happy
"""Em ơi"" cho anh ""say hi"" làm quen",Sad
Cuộc sống này thật khó khăn,Worry
"Tui mệt mỏi với việc phải đeo một chiếc ""mặt nạ"" hoàn hảo mỗi ngày",Sad
 Sao trên đời lại có loại người như vậy?,Angry
"""Flex"" nhẹ crush trên TikTok! 😎",Inlove
 Ê nhỏ đó có gì hơn tui mà crush tui thích nhỏ zậy? Cayyy,Sad
Không dám thử thách bản thân,Worry
 Tôi không phải đồ chơi của bạn!,Angry
Tôi tin rằng giấc mơ sẽ dẫn lối tôi đến thành công,Sad
Đừng giỡn mặt với tôi,Angry
 Buồn vì không có ai hiểu mình,Sad
 Bất ngờ nhận được tin vui từ người thân,Happy
 Làm gì thì làm,Angry
 Cảm thấy ổn,Neutral
Cảm thấy như mình đang bị mắc kẹt trong một giấc mơ tồi tệ,Worry
Xàm!,Angry
"Sao ""ai cũng có talent"" còn tui ""talentless"", chán đời!",Sad
 Câm mồm!,Angry
Ước gì mình có thể hiểu được crush! 🤔,Inlove
Muốn đi du lịch mà không có ai đi cùng... 🥲,Worry
 Không biết mặc gì hôm nay,Neutral
Du lịch,Neutral
"Hôm nay crush rep story, nhưng không phải mình 🥲 Chắc chắn là vũ trụ đang trêu ngươi tui",Worry
Chán nản với việc phải luôn gồng mình lên,Worry
"Tui tin rằng, ngày mai sẽ là một ngày tuyệt vời hơn! ❤️ Chúc mọi người ngủ ngon nha! 😘",Happy
 Thấy mọi thứ bất thường,Neutral
Cảm thấy trống rỗng bên trong,Worry
"""Đi xem triển lãm nghệ thuật, chiêm ngưỡng vẻ đẹp.""",Happy
Bạn là người tuyệt vời nhất!,Happy
Không no lắm,Neutral
"""Quá đáng, bị 'bắt nạt' vì không có 'tiếng nói'!""",Angry
"""Núi rừng"" hùng vĩ, tui muốn ""hòa mình""",Sad
 Nghe nhạc buồn mà cứ tưởng nhạc tình. Tại crush đó!,InLove
 Mình yêu em/anh hơn cả chính mình,InLove
Mình làm được mà,Worry
"Thôi thì ""friendzone"" cũng được, miễn là được ở gần crush",Inlove
 Trời ơi áp lực quá đi à,Worry
 Mọi thứ thật hoàn hảo!,Happy
" Ôi cái quảng cáo cứ hiện ra mãi, bực mình!",Angry
Chờ like,Neutral
Không lo lắng,Neutral
 Cạn lời!,Angry
Mình luôn mơ thấy crush mỗi đêm,Inlove
"""Lúc nào cũng than nghèo kể khổ, ai biểu xài sang làm gì!""",Angry
 Stop it!,Angry
"""Connection lost..."" với những người tui yêu thương",Sad
 Phần mềm này cứ bị treo hoài!,Angry
Tui muốn được khóc thật to,Sad
Hết rồi,Neutral
" Ước gì có nút ""uncrush"" như mấy app hẹn hò... cho đỡ đau khổ",Sad
"Tự nhiên thấy mình ""mắc kẹt""... chắc do chưa tìm được lối đi",Worry
Cố gắng gồng mình lên để tỏ ra ổn,Worry
"""Đang nhắn tin tỏ tình thì crush seen không rep. ""Đau khổ""!!!"" (Đau khổ kiểu tức á mí bạn)",Angry
"Tui cảm thấy mình đang ""fake smile"" mỗi ngày. Đến khi nào mới được sống thật với cảm xúc?",Worry
 Cho mình biến mất khỏi đây được không?,Angry
 Cảm giác như sắp phát điên!,Angry
 Tôi không thể nào chịu đựng thêm được nữa!,Angry
(nhìn chằm chằm),Neutral
"(Không đại từ) Đặt đồ ăn mà giao sai món, ""hụt hẫng""!",Angry
Tại sao tui lại phải chịu đựng điều này?,Inlove
Sợ nhất là phải đối diện với sự thật,Worry
Có lẽ (tui/mình) nên nấu ăn. Để sau,Neutral
 Không đáng được sống,Sad
Có người rủ đi chơi. Để xem đã,Neutral
Thấy quảng cáo giảm giá. Kệ,Neutral
"Tui muốn ""network"" với những người tích cực",Sad
Ước gì có thể biến mất luôn,Worry
 Nhưng thật khó để kìm nén nó,Angry
"""Chỉ cần biết rằng, người ấy vẫn ở đó.""",InLove
Không ai hiểu mình cả,Worry
" 😖  Đau bụng dữ dội, chắc bị ốm",Worry
Tui muốn đi du lịch với người yêuuuu! ✈️,Inlove
"Tui sẽ ""check info"" kỹ càng trước khi gặp mặt!",InLove
Tui ước gì tui có thể thay đổi được tâm trạng của mình,Sad
 Quảng cáo cứ hiện lên liên tục!,Angry
"Tự nhiên thấy mình ""ngu ngơ"", chắc do chưa trải sự đời",Worry
"""Mới nạp xu vào app mà app bị lỗi. Tức xỉu!""",Angry
Tui ước gì mình có thể giúp đỡ những người xung quanh,Worry
 Mặt dày vô đối!  Không thể chấp nhận được!,Angry
Tự nhiên muốn đổi avatar,Neutral
" Đọc xong một cuốn tiểu thuyết hay, cảm xúc dâng trào",Happy
"Tui ""celebrate"" diversity. ""Different is beautiful""!",Happy
"Tui cảm thấy mình thật ""empty"" và thiếu sức sống... 😔",Worry
 Nhìn xuống sàn nhà,Neutral
" Tim mình như bị bóp nghẹt, mỗi nhịp đập đều chứa đầy nỗi sợ hãi",Worry
" Bánh mì, như mọi khi",Neutral
"""Một mình ngắm mưa. Lòng thấy dịu êm.""",Happy
" Ôi, cuộc sống thật khó khăn",Sad
Chè khúc bạch ngọt ngào! 🍧,Happy
 Muốn có một bờ vai để tựa vào,Sad
"😭 Thi trượt rồi, xong đời",Worry
Tui ước gì mình có thể trân trọng những điều nhỏ nhặt trong cuộc sống,Sad
loop: true;,Neutral
Cho đi yêu thương,Inlove
"Hôm nay ""cover"" bài hát hay quá, chắc chắn sẽ viral trên mạng. 🎶",Happy
"Lại còn cái đám bạn lúc nào cũng chỉ biết bu vào bàn tán chuyện của người khác, rảnh quá hay gì?",Angry
Anh ơi cho em mượn trái tim anh được không? Em hứa sẽ trả lại đầy đủ 😘,Sad
 Tương lai vẫn còn rất nhiều điều tốt đẹp đang chờ đón mình!,Happy
Tui ước gì mình có thể vị tha hơn... ❤️,Worry
"Tui ""prioritize"" sức khỏe tinh thần",Happy
Mình đi siêu thị. Mua đồ,Neutral
Stress vì bạn bè,Angry
"""Cười trừ"" khi ai đó hỏi ""sao nay mặt mày ""down"" thế?""",Sad
Tao ước gì mình có thể tha thứ cho một người. 🙏,Sad
Dữ liệu. Hết,Neutral
"""Tui 'yêu đời', dù có chuyện gì xảy ra.""",Happy
Tự hỏi sao mình sống ảo thế,Neutral
Tui không biết tui có đủ giỏi để đạt được ước mơ của mình không,Sad
 Tự phê bình bản thân,Neutral
Cảm giác như mình đang bị bỏ rơi,Sad
 Cảm thấy nhẹ nhõm.  Đã giải quyết xong việc,Neutral
"Tui muốn ""rewind"" lại những khoảnh khắc đẹp",Sad
"Nghe một câu nói mà ""ấm lòng"" ghê!",Happy
Yêu là phải vui vẻ như vậy đó!,InLove
Tự dưng thấy lo lắng... 😥,Worry
" Chẳng biết mình thích gì, giỏi gì, tương lai sẽ đi về đâu nữa... Mông lung như một trò đùa... 😔",Worry
Không biết mình là ai,Worry
"""Thử thách"" bản thân với những hoạt động mạo hiểm, ""tự tin"" hơn!",Happy
"Tui không cần ai hết, tui chỉ cần tiền thôi 🤑",Happy
"""Treat"" bản thân một buổi tối xem phim tại nhà, vừa ""chill"" vừa tiết kiệm",Happy
 Tôi muốn hét lên cho thỏa nỗi lòng!,Angry
"Hãy sống một cuộc đời ý nghĩa, và để lại dấu ấn tốt đẹp cho thế giới",Happy
"Tui muốn ""hack"" não mấy đứa ""toxic"". 🧠",Sad
" ""Tưởng hôm nay được nghỉ, ai dè cô giáo cho bài tập về nhà sấp mặt. 😠""",Angry
" Tương lai có khó khăn thế nào, tui vẫn sẽ cùng em ấy vượt qua",InLove
 Sao tui thấy nhỏ đó cứ lảng vảng quanh crush của tui hoài vậy ta? Ghen ghê á!,Inlove
Tui không biết mình có thể tin tưởng ai không,Sad
"Nay đi học mà bị điểm danh trúng. Coi như xong phim, bị ghi sổ đầu bài rồi 😭",Worry
 Hôm nay mình lại khóc,Sad
Mình muốn được yêu và được yêu,Sad
"Crush làm tui ""glow up"" mỗi ngày!",InLove
Hình như mình quên gì đó,Neutral
 Ghét bản thân ghê á!,Worry
"""Caption"" phải ""deep"", thả thính nhẹ nhàng thôi",Neutral
 Mình đang tạo dựng cuộc sống mà mình mơ ước,Happy
"Không có mục đích, không có ước mơ",Neutral
"Sao tui cứ mãi ""hậu đậu"" thế này, chắc tại ""đoảng trí""",Worry
Bớt bớt giùm cái,Angry
"""Game thủ"" chuyên nghiệp mà ""ăn gian"", ""ghét""!",Angry
(Im lặng),Neutral
Tui không muốn phải sống trong quá khứ nữa,Sad
"""Hãy luôn tin vào bản thân và vào những điều tốt đẹp sẽ đến.""",Happy
" Tự dưng nhận được lương làm thêm, giàu ú ụ! 💸",Happy
" Mẹ lại cằn nhằn chuyện ""cơm áo gạo tiền"", nhức đầu!",Angry
 *siết chặt tay*,Angry
"Tự nhủ phải ""slay"" hơn nữa trong tương lai 🔥",Happy
" Đèn đỏ, dừng xe",Neutral
"""Chán chường"" với cuộc sống hiện tại",Sad
Trời hôm nay nhiều mây,Neutral
 Mai tính!,Angry
 Thất bại trong việc leo rank.  Chán đời. (Giận bản thân),Angry
Nay được khen xinh,Happy
"Chắc tui phải ""reset"" lại cuộc đời quá",Sad
 Muốn ôm cả thế giới,Happy
 Cảm thấy trống rỗng.  Không có gì để làm,Neutral
"Muốn "" tặng bả trà sữa"" mà sợ bị từ chối quá à",InLove
"Tui ước gì mình có thể trở thành một người thành công, giàu có 💰",Sad
Đi tình nguyện. Ý nghĩa,Neutral
Cái giọng của nó nghe muốn đấm ghê á!,Angry
 Tui đang cố gắng học thật giỏi để ba mẹ tự hào về tui,Happy
"Sợ nhất mấy cái tin nhắn ""spam""... muốn ""chặn"" hết",Worry
 Tớ tin tưởng anh ấy tuyệt đối,InLove
 Đói bụng,Neutral
Chán nản với những ngày lặp đi lặp lại. 🗓️,Sad
" Tự nhiên bị ""bóc phốt"" trên mạng, ""cháy nhà""!",Angry
Tìm thấy niềm vui trong những điều nhỏ nhặt nhất,Happy
"""Tui thấy ổng cười với tui. Chắc ổng cũng có cảm tình với tui á.""",Inlove
"""Ngắm hoàng hôn trên biển, đẹp như tranh vẽ.""",Happy
"""Bữa nay crush rep story của nhỏ khác, đốt nhà!""",Angry
"Tui ước gì mình có ""siêu năng lực"". 💪",Sad
 Quá nhiều người vô trách nhiệm!,Angry
"""Đi xem phim hay với bạn bè. Xả stress cực đã!""",Happy
"Sao tui ""negative"" (tiêu cực) dữ vậy nè?",Worry
"Ước gì có ""cỗ máy thời gian"" để ""quay về""",Sad
Ừm,Neutral
 Tui là ai và đây là đâu? (Hài hước),Happy
"""Ngắm nhìn"" thế giới xung quanh",Sad
"Mấy cái ""thuyết âm mưu"" trên mạng ai tin thì tui cũng chịu! 🤦‍♀️",Angry
 Thời gian trôi qua không chờ đợi ai,Neutral
"Tui không ghét ai cả, tui chỉ ghét bản thân mình thôi. 😔",Sad
" Tôi đang cố gắng kiểm soát cảm xúc của mình, nhưng nó rất khó",Angry
Cho đi yêu thương,Inlove
"Được bạn bè an ủi lúc buồn, thấy ấm lòng ghê",Happy
Ai đó đang khoe đồ ăn. Ngon thì ăn đi,Neutral
"Dù có chuyện gì xảy ra, tui vẫn luôn yêu thương gia đình mình",Sad
"Mấy cái tin ""fake news"" tràn lan, ai kiểm duyệt dùm cái coi! 😠",Angry
"Tui muốn ""inspire"" người khác bằng câu chuyện của mình",Sad
" ""Ghét cái đứa cứ thích ""fake news""! 😒""",Angry
" ""Điện thoại hết pin đúng lúc drama đang căng đét. Hận!""",Angry
 Như trút được gánh nặng,Happy
 Mỗi ngày bên nhau đều là kỉ niệm đẹp,InLove
" Deadline dí sát rồi mà vẫn chưa làm gì cả. Cười lên nào, dù sao cũng chết. :))",Worry
 Cảm thấy mình may mắn khi có gia đình,Happy
"""Tui biết ""crush"" sẽ không bao giờ đọc được dòng này, nhưng mà... tui thích bồ!""",Inlove
"""Mỉm cười với đời.""",Happy
"""Sao ai cũng giỏi hết vậy, mình tui 'tàng tàng' vậy nè, tức!""",Angry
"Hôm nay giận dỗi người yêu xíu xiu, ai dỗ tui đi! 🥺",Inlove
 Bực!,Angry
 Mình sẽ vượt qua tất cả,Sad
Thoải mái,Neutral
"Sao ai cũng có vẻ dễ dàng, trừ mình? 😔",Sad
Giá mà crush ở đây thì tốt biết mấy,Inlove
 Cảm thấy bị xúc phạm,Angry
"Ước gì có ai đó đến và ""embrace"" tui",Sad
 Tui sẽ làm được,Angry
Mong muốn có một gia đình hạnh phúc,Worry
"Tự nhiên thấy sợ phải trưởng thành, sợ phải đối mặt với trách nhiệm",Worry
Và rồi mọi thứ sẽ kết thúc,Neutral
"Trời nắng ""chói chang"", tui ghét nhất khi phải ra đường! ☀️",Angry
"""Đôi khi hạnh phúc chỉ là một nụ cười, một cái ôm, một lời động viên.""",Happy
"""Cùng gia đình đi chơi. Gắn kết tình cảm!""",Happy
 Như một giấc mơ,Happy
Tui muốn bỏ học đi làm idol quá. Chắc chắn là tui hát dở ẹc,Sad
Sao tui không thể tìm được đam mê?,Worry
Tự dưng thấy yêu cuộc sống này quá!,Happy
 Hết pin năng lượng tích cực rồi đó!,Angry
" Tui đã từng tin vào những điều tốt đẹp, cho đến khi... 💔",Sad
"""Trời ơi, cái quần tui mới mua bị chật. Tại saoooooo!!!""",Angry
 Thật là phiền phức,Angry
 Ủa rồi cái cảm giác thích một người mà không dám nói ra nó là cái gì vậy trời?,Inlove
 Straight facts,Neutral
Cứ tin như vậy,Sad
"Cảm thấy thật ""blessed"" vì những điều tốt đẹp đến với mình 🙏",Happy
Phải tin vào tương lai tươi sáng!,Inlove
"Cảm giác như mình đang bị ""stuck"" trong một vòng lặp luẩn quẩn, không lối thoát",Worry
"Có tụi bạn ""chất chơi"" thích thật!",Happy
"Sao ai cũng có vẻ tốt đẹp, trừ tao? 😇",Sad
Đi ăn vặt. No,Neutral
 Bị làm phiền khi đang tập trung.  Bực mình!,Angry
"Tui ""edit"" ảnh bằng app ""xịn xò""!",Happy
Mình sợ rằng mình sẽ không bao giờ tha thứ cho chính mình,Worry
 Chấp nhận,Neutral
"""Tự dưng muốn viết một bài hát về ""crush"", mà tui có biết chơi nhạc đâu!""",Inlove
Cảm thấy trái tim tan vỡ,Worry
 Đang đợi người,Neutral
"Crush làm tui ""recap"" lại những kỷ niệm đẹp!",InLove
"Đi dạo công viên, hít thở không khí trong lành. ""Fresh"" cực! 🌳",Happy
Tui luôn muốn được ở bên crush mãi mãi,InLove
" Xem một bộ phim hay, không có cảm xúc",Neutral
 Đừng có giỡn mặt với tui,Angry
"""Đau lòng"" khi thấy người mình yêu thương đau khổ",Sad
"Mấy bà nghĩ sao về ""love bombing""? Tui thấy hơi ""toxic"" á. #lovebombing #toxic #tinhyeu",Inlove
"Tui chỉ là một ""người lạ"" trong thế giới của chính mình",Sad
 Hôm nay cãi nhau với anh ấy. Buồn muốn khóc luôn,InLove
"Thấy crush online mà không dám nhắn tin, sợ làm phiền người ta",Sad
Cảm giác như bị bỏ rơi giữa thế giới rộng lớn này,Sad
"Tui đang ""khám phá"" bản thân!",Happy
"Tui muốn được là chính mình, bất chấp tất cả",Worry
Tui cảm thấy cuộc sống này thật bình yên!,Happy
 Mệt não,Angry
 Tai xấu.  Không nghe được!,Angry
Tự an ủi mình. Mọi chuyện sẽ ổn thôi,Neutral
"""Tui hy vọng tui và ổng sẽ có một cái kết đẹp.""",Inlove
Chính trị thật bế tắc!,Angry
Tui là người bất hạnh nhất trên thế giới này!,Angry
 Lan tỏa yêu thương,Happy
Uống coca,Neutral
"""Mạnh mẽ"" lên và quên crush đi. Không làm được! 😩",Inlove
 Perfect!,Happy
Tui sẽ cố gắng quên bạn,Inlove
Mày mà còn lề mề là tao bỏ mặc mày luôn!,Angry
Mọi thứ thật blurry,Worry
 Mình sẽ mãi mãi nhớ những khoảnh khắc bên người ấy,InLove
"""Sao ai cũng ""sống ảo"" vậy trời?""",Inlove
 Tức muốn xỉu,Angry
"Em không cần đường, vì em đã ngọt ngào sẵn rồi. 😉",Happy
Có thông báo. Mở ra xem. Thông báo,Neutral
Niềm vui đến từ những điều nhỏ nhặt trong cuộc sống,Happy
"Sao ""ai cũng có vẻ"" hạnh phúc trên mạng, còn tui thì ""dark mode"" suốt ngày!",Sad
"""Đăng ảnh lên mạng xã hội, chia sẻ niềm vui.""",Happy
"""Hôm nay đi ăn bún đậu bị đau bụng. Đau muốn chết!!!""",Angry
"""Không ngại"" thể hiện bản thân!",Happy
"""Ủa"", có ai hiểu được tui đang nghĩ gì không? Chắc là ""khum"" đâu",Worry
Tự dưng muốn chạy đến ôm crush ngay bây giờ,Inlove
"""Nghe"" người yêu hát tặng! Tan chảy con tim!",Happy
Mình muốn được giúp đỡ người khác,Worry
Mấy nay hay gặp ác mộng,Neutral
Tôi cảm thấy mình thật lạc lõng và cô đơn,Sad
 Tôi xin đấy!,Angry
Tụt mood!,Angry
"Tự dưng thấy chán ghét bản thân, muốn biến mất khỏi thế giới này một ngày... 😔",Worry
 Bực cả mình,Angry
"Tui mới mua đôi giày mới, chất lừ! 👟",Happy
"""Đang học bài thì bị mất tập trung. ""Khó chịu""!!!""",Angry
"""Mua quà"" tặng gia đình, ""bất ngờ"" và ""hạnh phúc""!",Happy
Ước gì có thể cắt đứt hết mọi liên lạc,Worry
"Muốn đi du lịch cho khuây khỏa, mà không có ""đồng nào dính túi""",Sad
"""Ghét cái đứa cứ thích ""drama""! 🙄""",Angry
"""What"", cái gì mà tăng giá nữa vậy trời?",Angry
 Chỉ muốn được yên bình,Worry
Cây xương rồng ra hoa. Đẹp,Neutral
"Hôm nay ""khoe"" thành quả sau bao ngày cố gắng, tự hào quá xá! 🏆",Happy
Bạn không hề cô đơn!,Happy
"Hôm nay tui ""mix & match"" một outfit mới, nhìn chất chơi người dơi!",Happy
"Crush là ""my OTP""!",InLove
Tui đăng ảnh lên mạng xã hội!,Happy
Suy nghĩ,Neutral
Tui cảm thấy cuộc sống này thật thú vị!,Happy
 Sắp điên rồi,Angry
Hôm nay tui đã khóc vì hạnh phúc,Happy
 Thấy chó,Neutral
" Trời âm u, giống hệt bầu trời trong đầu",Sad
"Crush là ""my best friend""!",InLove
 Cảm ơn vì đã luôn ở bên tui,InLove
" Hôm nay tui quyết định ""follow"" hết tất cả những đứa bạn của crush. Phải nắm bắt tình hình! 🕵️‍♀️",Inlove
Tui muốn được sống trọn vẹn từng khoảnh khắc,Sad
 Thở dài,Neutral
"Tui muốn được tự do, được làm những gì mình thích",Worry
Nghe tiếng còi xe. Ồn ào,Neutral
"Tui ""living my best life"" mỗi ngày! 💖",Happy
"Cảm giác như mình đang ""drowning"" trong một biển cảm xúc tiêu cực",Worry
Tự nhiên muốn đi xem concert,Happy
 Không có động lực để làm gì cả,Worry
"Tui ""feeling myself"" vì hôm nay quá tự tin!",Happy
"""Tui sẽ vượt qua chuyện này.""",Inlove
"Tui muốn được là một người lạc quan, yêu đời 😊",Sad
"Tui thấy ""burnout"" rồi... cần nạp lại năng lượng",Sad
"Tự dưng muốn viết một bài hát, ai đó phổ nhạc hộ tui? 🎤",Happy
Tui cảm thấy mình thật yếu đuối... 🥺,Worry
" Nắng đã lên rồi, xua tan mọi u ám. ☀️",Happy
Cảm giác bản thân đang tiến bộ từng ngày. Proud of myself!,Happy
 You are amazing,Happy
Mình muốn được sống thật với chính mình,InLove
 Cảm giác run rẩy khắp người,Worry
"Thôi, chưa được",Neutral
Tui không biết mình có thể yêu ai nữa không... 💔,Worry
Hết chưa?,Neutral
Hôm nay tui lại sống trong quá khứ,Sad
Nói. Nghe,Neutral
Yêu đời quá đi! 🥰,Happy
 Cảm thấy mình thật thất bại,Sad
" Tui sợ phải sống một cuộc đời tầm thường, vô danh. 👤",Worry
Mục đích của mình là gì?,Worry
Không biết viết gì nữa,Neutral
 Deadline dí sml!,Angry
Tui nhận ra rằng mình xinh đẹp nhất khi là chính mình ✨,Happy
Tự hào về gia đình mình!,Happy
 Héo queo như cây ngoài nắng,Sad
"""Loading..."" mãi mà chưa thấy tương lai",Sad
 Chỉ cần được ở bên cậu ấy,InLove
"Xem được bộ phim tình cảm lãng mạn, tim rung rinh! 🥰",Happy
Hôm nay tui thấy mình thật vô dụng,Sad
"Sao ai cũng có nhiều tài lẻ hết trơn, còn mình thì... Haizzz! 😒",Worry
Gặp bạn trên Tinder đúng là định mệnh!,Inlove
"""Hôm nay gặp toàn chuyện xui xẻo! 🍀""",Angry
Tui tự hỏi liệu cậu ấy có bao giờ nghĩ đến tui như tui nghĩ về cậu ấy không?,Inlove
Tui chỉ muốn được ai đó ôm lấy và nói rằng mọi chuyện sẽ ổn,Worry
"""Tui không tin vào những lời hứa, nhưng tui lại muốn tin vào những lời crush nói...""",InLove
"Đừng bao giờ từ bỏ ước mơ, vì biết đâu nó đang ở rất gần",Worry
 Hôm nay trời mưa,Neutral
" Tình bạn tan vỡ, tôi không thể nào chấp nhận được",Sad
"""Yêu thích"" công việc mình làm, ""đam mê"" cháy bỏng!",Happy
Mệt mỏi với những lời nói dối. 🤥,Sad
 Đôi khi cũng muốn cười,Neutral
"""Hôm nay đi hát karaoke mà toàn bài mình không biết. Chán!""",Angry
Hiểu. Okay,Neutral
(Cố gắng gượng cười),Neutral
Sai lầm rồi nhé!,Angry
Thấy ai đó thất bại. Đời mà,Neutral
"""Tui mà là ""phù thuỷ"", tui sẽ ""ếm"" cho mấy đứa ""ăn gian"" thi cử ""tạch"" hết!""",Angry
Đừng có làm phiền nữa,Angry
"""Đồ án"" ""khó nhằn"", ""cắn bút"" cả ngày!",Happy
Chán nản level max 😩,Sad
Giận dữ vì bị phản bội niềm tin,Angry
Tui cùng ba mẹ xem phim ở nhà!,Happy
 Cười muốn nội thương vì cái meme ảnh gửi. Crush quốc dân là đây chứ đâu,InLove
"Mấy nay thấy ai cũng ""viral""... mình thì vẫn ""chìm nghỉm""",Worry
 Cảm giác khi nhìn thấy em ấy…  mấy từ cũng chẳng diễn tả nổi,InLove
"""Đang đi chơi thì bị trời nắng. ""Xui xẻo""!!!""",Angry
"Thôi kệ, ""mặc kệ thời tiết"", tui cứ sống ""chill"" thôi á! 😎",Angry
 Hôm nay đã đi bộ 10.000 bước,Happy
Tui ước gì mình có thể yêu bản thân hơn... 🥰,Worry
" WiFi nhà lag kinh khủng, đang làm việc gấp mà cứ văng ra văng vào, muốn đập máy tính",Angry
" Không có thời gian nghỉ ngơi, cứ làm việc mãi, muốn nghỉ việc",Angry
Tui tin vào những điều tốt đẹp sẽ đến trong tương lai,Happy
Tui vừa học được một điệu nhảy mới trên TikTok. Tối nay quẩy banh nóc nhà! 💃,Happy
"""Tui mệt"" với những ""kỳ vọng"" của người khác 😩",Sad
"""Sao lúc nào mình cũng phải ""hy sinh"" vì người khác? 😠""",Angry
Phải vượt qua tất cả,Sad
"Hôm nay mình sẽ ""quẩy tung nóc""",Happy
"Tui sẽ ""lắng nghe"" cậu hơn",Inlove
Tôi muốn hét lên cho cả thế giới biết nỗi đau của tôi 🗣️,Worry
Xin phép được cục súc,Angry
Cãi nhau là chuyện thường tình,Inlove
 Đã bảo là... thôi kệ,Angry
" Đồ ăn bị cháy khét, công sức bỏ ra đổ xuống sông xuống bể",Angry
 Sus,Neutral
 Khát nước.  Uống nước,Neutral
Tui sẽ luôn lắng nghe và thấu hiểu bản thân mình,Sad
"Tui muốn ""biến thành"" siêu nhân để ""giải cứu"" thế giới khỏi ""deadline""!",Sad
" Tui sợ một ngày nào đó mình sẽ biến mất, không ai nhớ tới. 👻",Worry
 Bạn nhắn tin. Seen,Neutral
